13:49:20.909, LED:[0], Chans:(11, 12, 96, 229, 89, 44)
13:49:20.942, LED:[0], Chans:(11, 11, 96, 230, 89, 41)
13:49:20.975, LED:[0], Chans:(10, 11, 97, 230, 90, 42)
13:49:21.009, LED:[0], Chans:(10, 11, 97, 230, 90, 45)
13:49:21.042, LED:[0], Chans:(11, 12, 97, 229, 90, 44)
13:49:21.076, LED:[0], Chans:(10, 11, 97, 230, 90, 42)
13:49:21.110, LED:[0], Chans:(11, 12, 97, 230, 90, 44)
13:49:21.143, LED:[0], Chans:(11, 12, 97, 230, 90, 45)
13:49:21.177, LED:[0], Chans:(10, 11, 97, 229, 90, 44)
13:49:21.210, LED:[0], Chans:(10, 11, 97, 229, 90, 44)
13:49:21.244, LED:[0], Chans:(10, 11, 97, 229, 89, 41)
13:49:21.278, LED:[0], Chans:(10, 12, 97, 228, 89, 42)
13:49:21.312, LED:[0], Chans:(10, 11, 96, 229, 89, 44)
13:49:21.345, LED:[0], Chans:(11, 12, 96, 228, 88, 46)
13:49:21.378, LED:[0], Chans:(11, 11, 96, 228, 89, 42)
13:49:21.412, LED:[0], Chans:(10, 11, 96, 228, 89, 40)
13:49:21.446, LED:[0], Chans:(10, 11, 96, 228, 89, 44)
13:49:21.480, LED:[0], Chans:(11, 12, 96, 228, 88, 43)
13:49:21.513, LED:[0], Chans:(10, 11, 96, 229, 88, 42)
13:49:21.546, LED:[0], Chans:(10, 12, 96, 229, 88, 41)
13:49:21.580, LED:[0], Chans:(10, 12, 95, 227, 88, 43)
13:49:21.614, LED:[0], Chans:(11, 11, 96, 228, 88, 43)
13:49:21.648, LED:[0], Chans:(10, 11, 95, 228, 88, 40)
13:49:21.681, LED:[0], Chans:(10, 12, 96, 227, 88, 43)
13:49:21.715, LED:[0], Chans:(10, 11, 96, 228, 88, 41)
13:49:21.748, LED:[0], Chans:(10, 11, 95, 227, 88, 40)
13:49:21.782, LED:[0], Chans:(10, 11, 95, 228, 88, 39)
13:49:21.816, LED:[0], Chans:(10, 11, 95, 228, 88, 41)
13:49:21.849, LED:[0], Chans:(10, 11, 95, 229, 88, 41)
13:49:21.883, LED:[0], Chans:(11, 11, 96, 228, 88, 40)
13:49:21.916, LED:[0], Chans:(10, 11, 95, 229, 88, 42)
13:49:21.949, LED:[0], Chans:(10, 11, 96, 229, 88, 44)
13:49:21.984, LED:[0], Chans:(10, 11, 95, 229, 88, 40)
13:49:22.017, LED:[0], Chans:(10, 12, 96, 229, 89, 41)
13:49:22.051, LED:[0], Chans:(10, 12, 95, 228, 88, 43)
13:49:22.084, LED:[0], Chans:(10, 11, 96, 229, 88, 41)
13:49:22.117, LED:[0], Chans:(10, 11, 96, 228, 88, 43)
13:49:22.152, LED:[0], Chans:(10, 11, 96, 228, 88, 41)
13:49:22.185, LED:[0], Chans:(10, 12, 96, 229, 88, 45)
13:49:22.219, LED:[0], Chans:(10, 11, 96, 229, 88, 42)
13:49:22.252, LED:[0], Chans:(10, 11, 95, 229, 88, 41)
13:49:22.286, LED:[0], Chans:(10, 12, 95, 228, 88, 40)
13:49:22.320, LED:[0], Chans:(10, 12, 96, 229, 88, 41)
13:49:22.353, LED:[0], Chans:(10, 11, 96, 229, 88, 39)
13:49:22.387, LED:[0], Chans:(10, 11, 96, 228, 88, 41)
13:49:22.420, LED:[0], Chans:(10, 12, 97, 229, 88, 43)
13:49:22.454, LED:[0], Chans:(10, 12, 96, 229, 88, 40)
13:49:22.488, LED:[0], Chans:(10, 11, 96, 229, 88, 40)
13:49:22.521, LED:[0], Chans:(10, 11, 95, 228, 88, 40)
13:49:22.555, LED:[0], Chans:(10, 11, 96, 229, 88, 39)
13:49:22.588, LED:[0], Chans:(10, 11, 95, 228, 88, 41)
13:49:22.622, LED:[0], Chans:(10, 12, 96, 228, 88, 38)
13:49:22.656, LED:[0], Chans:(10, 11, 95, 229, 88, 40)
13:49:22.690, LED:[0], Chans:(10, 12, 95, 229, 88, 40)
13:49:22.723, LED:[0], Chans:(10, 11, 95, 229, 88, 39)
13:49:22.756, LED:[0], Chans:(10, 11, 96, 230, 88, 40)
13:49:22.790, LED:[0], Chans:(10, 12, 95, 229, 88, 40)
13:49:22.824, LED:[0], Chans:(10, 12, 96, 230, 88, 44)
13:49:22.858, LED:[0], Chans:(10, 11, 96, 229, 88, 39)
13:49:22.891, LED:[0], Chans:(10, 12, 96, 230, 88, 40)
13:49:22.924, LED:[0], Chans:(10, 11, 96, 229, 88, 41)
13:49:22.958, LED:[0], Chans:(10, 12, 95, 229, 88, 40)
13:49:22.991, LED:[0], Chans:(10, 11, 96, 230, 89, 40)
13:49:23.026, LED:[0], Chans:(10, 11, 96, 230, 88, 39)
13:49:23.059, LED:[0], Chans:(11, 11, 96, 230, 88, 40)
13:49:23.092, LED:[0], Chans:(10, 11, 96, 230, 88, 40)
13:49:23.126, LED:[0], Chans:(10, 11, 95, 229, 88, 40)
13:49:23.159, LED:[0], Chans:(10, 11, 96, 229, 88, 41)
13:49:23.194, LED:[0], Chans:(10, 12, 96, 230, 88, 39)
13:49:23.227, LED:[0], Chans:(10, 11, 96, 230, 88, 38)
13:49:23.261, LED:[0], Chans:(10, 11, 96, 230, 88, 38)
13:49:23.294, LED:[0], Chans:(10, 11, 95, 230, 88, 39)
13:49:23.327, LED:[0], Chans:(10, 11, 95, 230, 88, 41)
13:49:23.362, LED:[0], Chans:(10, 11, 95, 230, 88, 37)
13:49:23.395, LED:[0], Chans:(10, 11, 96, 229, 88, 39)
13:49:23.429, LED:[0], Chans:(10, 11, 95, 230, 88, 37)
13:49:23.462, LED:[0], Chans:(10, 12, 95, 230, 88, 42)
13:49:23.495, LED:[0], Chans:(10, 12, 95, 229, 88, 37)
13:49:23.530, LED:[0], Chans:(10, 12, 95, 230, 88, 39)
13:49:23.563, LED:[0], Chans:(11, 12, 95, 230, 88, 40)
13:49:23.597, LED:[0], Chans:(10, 11, 95, 229, 88, 40)
13:49:23.630, LED:[0], Chans:(10, 11, 96, 230, 88, 39)
13:49:23.664, LED:[0], Chans:(10, 11, 96, 230, 88, 37)
13:49:23.697, LED:[0], Chans:(10, 11, 95, 231, 88, 39)
13:49:23.731, LED:[0], Chans:(10, 11, 96, 230, 88, 37)
13:49:23.765, LED:[0], Chans:(10, 11, 95, 230, 88, 42)
13:49:23.798, LED:[0], Chans:(10, 11, 96, 230, 88, 39)
13:49:23.832, LED:[0], Chans:(10, 12, 96, 231, 88, 39)
13:49:23.865, LED:[0], Chans:(10, 11, 96, 230, 88, 39)
13:49:23.899, LED:[0], Chans:(10, 11, 96, 231, 89, 39)
13:49:23.933, LED:[0], Chans:(10, 11, 95, 231, 88, 38)
13:49:23.966, LED:[0], Chans:(10, 11, 95, 230, 88, 37)
13:49:24.000, LED:[0], Chans:(10, 12, 95, 231, 88, 39)
13:49:24.033, LED:[0], Chans:(10, 11, 96, 231, 88, 39)
13:49:24.067, LED:[0], Chans:(10, 11, 96, 231, 88, 37)
13:49:24.101, LED:[0], Chans:(10, 11, 96, 231, 88, 39)
13:49:24.134, LED:[0], Chans:(10, 12, 95, 231, 89, 39)
13:49:24.168, LED:[0], Chans:(10, 11, 96, 230, 88, 40)
13:49:24.201, LED:[0], Chans:(10, 12, 97, 231, 88, 39)
13:49:24.236, LED:[0], Chans:(10, 12, 96, 231, 88, 39)
13:49:24.269, LED:[0], Chans:(10, 11, 96, 231, 89, 39)
13:49:24.302, LED:[0], Chans:(10, 12, 96, 231, 88, 39)
13:49:24.336, LED:[0], Chans:(10, 11, 96, 231, 89, 39)
13:49:24.369, LED:[0], Chans:(10, 11, 96, 231, 89, 37)
13:49:24.404, LED:[0], Chans:(10, 12, 96, 230, 88, 40)
13:49:24.437, LED:[0], Chans:(10, 11, 96, 231, 88, 40)
13:49:24.470, LED:[0], Chans:(10, 11, 96, 231, 89, 37)
13:49:24.504, LED:[0], Chans:(10, 11, 96, 231, 88, 42)
13:49:24.537, LED:[0], Chans:(10, 11, 96, 231, 89, 40)
13:49:24.571, LED:[0], Chans:(10, 11, 96, 232, 89, 40)
13:49:24.605, LED:[0], Chans:(10, 11, 96, 231, 89, 37)
13:49:24.639, LED:[0], Chans:(10, 12, 97, 231, 88, 39)
