13:48:52.002, LED:[2], Chans:(2138, 7884, 7675, 7927, 6801, 4365)
13:48:52.142, LED:[2], Chans:(2138, 7883, 7675, 7924, 6802, 4363)
13:48:52.145, LED:[2], Chans:(2136, 7884, 7677, 7925, 6801, 4363)
13:48:52.147, LED:[2], Chans:(2138, 7886, 7676, 7927, 6802, 4365)
13:48:52.150, LED:[2], Chans:(2137, 7886, 7678, 7925, 6802, 4366)
13:48:52.170, LED:[2], Chans:(2139, 7884, 7677, 7923, 6803, 4367)
13:48:52.203, LED:[2], Chans:(2136, 7885, 7677, 7927, 6803, 4367)
13:48:52.238, LED:[2], Chans:(2139, 7887, 7682, 7930, 6806, 4366)
13:48:52.271, LED:[2], Chans:(2137, 7888, 7686, 7926, 6807, 4370)
13:48:52.305, LED:[2], Chans:(2137, 7889, 7685, 7922, 6811, 4367)
13:48:52.338, LED:[2], Chans:(2137, 7890, 7681, 7928, 6811, 4368)
13:48:52.372, LED:[2], Chans:(2140, 7886, 7682, 7927, 6803, 4367)
13:48:52.406, LED:[2], Chans:(2140, 7890, 7685, 7928, 6804, 4364)
13:48:52.439, LED:[2], Chans:(2138, 7887, 7685, 7926, 6809, 4369)
13:48:52.473, LED:[2], Chans:(2137, 7889, 7684, 7928, 6807, 4365)
13:48:52.506, LED:[2], Chans:(2138, 7889, 7688, 7928, 6804, 4370)
13:48:52.540, LED:[2], Chans:(2139, 7890, 7688, 7934, 6805, 4367)
13:48:52.574, LED:[2], Chans:(2139, 7885, 7690, 7937, 6809, 4374)
13:48:52.607, LED:[2], Chans:(2140, 7892, 7689, 7937, 6809, 4372)
13:48:52.641, LED:[2], Chans:(2138, 7891, 7690, 7938, 6807, 4372)
13:48:52.674, LED:[2], Chans:(2137, 7891, 7689, 7936, 6807, 4370)
13:48:52.708, LED:[2], Chans:(2138, 7893, 7686, 7937, 6808, 4370)
13:48:52.742, LED:[2], Chans:(2137, 7891, 7694, 7936, 6809, 4371)
13:48:52.776, LED:[2], Chans:(2140, 7898, 7695, 7942, 6811, 4371)
13:48:52.809, LED:[2], Chans:(2139, 7893, 7693, 7937, 6812, 4371)
13:48:52.842, LED:[2], Chans:(2139, 7894, 7696, 7943, 6812, 4370)
13:48:52.876, LED:[2], Chans:(2141, 7898, 7697, 7943, 6813, 4370)
13:48:52.910, LED:[2], Chans:(2141, 7896, 7696, 7943, 6814, 4374)
13:48:52.944, LED:[2], Chans:(2141, 7902, 7698, 7947, 6812, 4372)
13:48:52.977, LED:[2], Chans:(2141, 7899, 7697, 7945, 6814, 4370)
13:48:53.011, LED:[2], Chans:(2141, 7902, 7694, 7945, 6815, 4370)
13:48:53.044, LED:[2], Chans:(2144, 7905, 7702, 7949, 6818, 4377)
13:48:53.078, LED:[2], Chans:(2142, 7904, 7700, 7950, 6818, 4375)
13:48:53.112, LED:[2], Chans:(2142, 7910, 7701, 7949, 6820, 4375)
13:48:53.145, LED:[2], Chans:(2141, 7905, 7698, 7947, 6819, 4372)
13:48:53.179, LED:[2], Chans:(2142, 7907, 7699, 7947, 6820, 4378)
13:48:53.212, LED:[2], Chans:(2142, 7907, 7698, 7952, 6819, 4376)
13:48:53.246, LED:[2], Chans:(2142, 7909, 7699, 7950, 6819, 4376)
13:48:53.280, LED:[2], Chans:(2143, 7909, 7699, 7952, 6820, 4376)
13:48:53.313, LED:[2], Chans:(2141, 7909, 7701, 7951, 6819, 4372)
